Series,Dataset,Title,SubTitle,SubTitle2,Type,Colour,startDate,frequency,pageLink,articlesECO,dataLink,dataType,rank,mark,order
UNRATE,,Unemployment,Ages 16 and over - %,,Headline,darkviolet,1980,quarters,https://www.ons.gov.uk/employmentandlabourmarket/peoplenotinwork/unemployment/timeseries/mgsx/lms,https://www.economicsobservatory.com/is-work-in-the-uk-becoming-more-insecure,,json,1,line,1
,,Inflation,All items,,Headline,darkviolet,1980,quarters,https://www.ons.gov.uk/economy/inflationandpriceindices/timeseries/l55o/mm23 ,https://www.economicsobservatory.com/is-inflation-avoidable,,json,1,line,2
,,Growth,Volume measure,,Headline,darkviolet,1980,quarters,https://www.ons.gov.uk/economy/grossdomesticproductgdp/timeseries/ihyr/qna,https://www.economicsobservatory.com/what-do-the-latest-uk-data-reveal-about-regional-gdp,,json,1,bar,3
,,Productivity,Output per hour,,,darkviolet,1955,quarters,,,,json,1,line,4
,,House Prices,Average,,Housing,darkviolet,1986,annual,https://www.ons.gov.uk/economy/inflationandpriceindices/datasets/housepriceindexannualtables2039,,https://raw.githubusercontent.com/RDeconomist/RDeconomist.github.io/main/data/uk/data_UK_HousePrices.csv,csv,1,line,5
,,Affordability,House price to income ratio,,Housing,darkviolet,1969,annual,https://www.ons.gov.uk/economy/inflationandpriceindices/datasets/housepriceindexannualtables2039,,https://raw.githubusercontent.com/RDeconomist/RDeconomist.github.io/main/data/uk/data_UK_HousePricesToIncomeRatio.csv,csv,1,line,6
,,Inequality,Gini coefficient - disposable income,,Income,darkviolet,1977,annual,https://www.ons.gov.uk/peoplepopulationandcommunity/personalandhouseholdfinances/incomeandwealth/datasets/householddisposableincomeandinequality ,,https://raw.githubusercontent.com/RDeconomist/RDeconomist.github.io/main/data/uk/data_UK_GINI.csv,csv,1,line,7
,,Inactivity,Age 16-64 - % workforce,,Headline,darkviolet,1980,quarters,https://www.ons.gov.uk/employmentandlabourmarket/peoplenotinwork/economicinactivity/timeseries/lf4t/lms,https://www.economicsobservatory.com/how-has-employment-of-older-workers-changed-since-the-pandemic,,json,2,line,8
,,Debt,Public Sector Net Debt - % GDP,,Headline,darkviolet,2000,quarters,https://www.ons.gov.uk/economy/governmentpublicsectorandtaxes/publicsectorfinance/timeseries/ruto/pusf,https://www.economicsobservatory.com/which-taxes-might-help-to-restore-sustainability-of-the-public-finances,,json,1,line,9
DGS10,,Debt costs,10 year government bond yield,,Headline,darkviolet,1960,daily,,,https://raw.githubusercontent.com/RDeconomist/RDeconomist.github.io/main/data/uk/data_UK_BondYield.csv,csv,1,line,10
,,Base Rate,BoE Interest Rate,,Headline,darkviolet,1960,annual,,,https://raw.githubusercontent.com/RDeconomist/RDeconomist.github.io/main/data/uk/data_UK_BankRate.csv,csv,1,line,11
,,Exchange Rate,USD-GBP exchange rate,,Headline,darkviolet,1960,daily,https://www.bankofengland.co.uk/boeapps/database/fromshowcolumns.asp?Travel=NIxSTxTIxSUx&FromSeries=1&ToSeries=50&DAT=ALL&FNY=&CSVF=TT&html.x=100&html.y=40&C=5YE&Filter=N,,https://raw.githubusercontent.com/RDeconomist/RDeconomist.github.io/main/data/uk/data_UK_exrUSDGBP.csv,csv,1,line,12
,,Redundancies,UK - thousands,,Labour market,darkviolet,1997,quarters,https://www.ons.gov.uk/employmentandlabourmarket/peoplenotinwork/redundancies/timeseries/beao/lms,https://www.economicsobservatory.com/how-has-the-uk-labour-market-fared-in-recessions-and-recoveries-since-1872,,json,1,line,13
,,Long weeks,45+ hours work - % employees,,Labour market,darkviolet,1992,quarters,https://www.ons.gov.uk/employmentandlabourmarket/peopleinwork/employmentandemployeetypes/timeseries/lwzv/lms,https://www.economicsobservatory.com/coronavirus-careers-and-mental-health-what-are-links,,json,1,line,14
,,Exports,Goods - GBP million,,Trade,darkviolet,1980,quarters,https://www.ons.gov.uk/economy/nationalaccounts/balanceofpayments/timeseries/lqad/ukea,https://www.economicsobservatory.com/how-has-the-pandemic-affected-international-trade-across-the-uk,,json,2,line,15
,,Imports,Goods - GBP million,,Trade,darkviolet,1980,quarters,https://www.ons.gov.uk/economy/nationalaccounts/balanceofpayments/timeseries/lqbl/ukea,,,,2,line,16
,,Army-Navy-Air Force,Employment - thousands,,Public Sector,darkviolet,1980,quarters,https://www.ons.gov.uk/employmentandlabourmarket/peopleinwork/publicsectorpersonnel/timeseries/c9ll/pse,https://www.economicsobservatory.com/what-would-be-the-economic-consequences-of-a-military-stalemate-in-ukraine,,json,3,line,17
,,Public Sector,Employment - thousands,,Public Sector,darkviolet,1980,quarters,https://www.ons.gov.uk/employmentandlabourmarket/peopleinwork/publicsectorpersonnel/timeseries/g7g3/pse,https://www.economicsobservatory.com/who-has-financed-higher-government-spending-during-pandemic,,json,3,line,18
,,Police,Employment - thousands,,Public Sector,darkviolet,1999,quarters,https://www.ons.gov.uk/employmentandlabourmarket/peopleinwork/publicsectorpersonnel/timeseries/c9lm/pse,https://www.economicsobservatory.com/how-are-crime-trends-in-england-and-wales-changing-during-the-pandemic,,json,3,line,19
,,Teachers,Employment - thousands,,Public Sector,darkviolet,1999,quarters,https://www.ons.gov.uk/employmentandlabourmarket/peopleinwork/publicsectorpersonnel/timeseries/g7gi/pse,https://www.economicsobservatory.com/how-best-should-school-resources-be-deployed-response-covid-19-crisis,,json,3,line,20
,,Marriages,Per thousand population,,Society,darkviolet,1800,annual,https://www.ons.gov.uk/peoplepopulationandcommunity/birthsdeathsandmarriages/marriagecohabitationandcivilpartnerships/datasets/marriagesinenglandandwales2013,,https://raw.githubusercontent.com/RDeconomist/RDeconomist.github.io/main/data/uk/data_UK_MarriageRate.csv,csv,3,line,21
,,Divorces,Per thousand - male,,Society,darkviolet,1950,annual,https://www.ons.gov.uk/peoplepopulationandcommunity/birthsdeathsandmarriages/divorce/datasets/divorcesinenglandandwales,,https://raw.githubusercontent.com/RDeconomist/RDeconomist.github.io/main/data/uk/data_UK_DivorceRate.csv,csv,3,line,22
,,Holidays,UK visits abroad - thousand,,Consumption,darkviolet,1986,years,https://www.ons.gov.uk/peoplepopulationandcommunity/leisureandtourism/timeseries/gmax/ott,https://www.economicsobservatory.com/update-how-is-covid-19-affecting-international-travel-and-tourism,,json,4,line,23
,,Tourists,Foreign visitors to UK - thousand,,Consumption,darkviolet,1986,years,https://www.ons.gov.uk/peoplepopulationandcommunity/leisureandtourism/timeseries/gmaa/ott,https://www.economicsobservatory.com/update-how-is-covid-19-affecting-international-travel-and-tourism,,json,4,line,24
